categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",2.632,w667295845
SECONDAIRE,Route secondaire,"","",2.631,w302570505
SECONDAIRE,Route secondaire,"","",2.624,w690693510
TERTIAIRE,Route tertiaire,"","",2.624,w303331415
TERTIAIRE,Route tertiaire,"","",2.622,w340061455
TERTIAIRE,Route tertiaire,"","",2.622,w498340778
TERTIAIRE,Route tertiaire,"","",2.620,w548923581
TERTIAIRE,Route tertiaire,"","",2.611,w277548314
TERTIAIRE,Route tertiaire,"","",2.609,w408949043
TERTIAIRE,Route tertiaire,"","",2.592,w304942055
TERTIAIRE,Route tertiaire,"","",2.581,w333527302
TERTIAIRE,Route tertiaire,"","",2.564,w939984906
TERTIAIRE,Route tertiaire,"","",2.555,w339788701
TERTIAIRE,Route tertiaire,"","",2.541,w304935162
TERTIAIRE,Route tertiaire,"","",2.534,w301887883
TERTIAIRE,Route tertiaire,"","",2.529,w308549893
TERTIAIRE,Route tertiaire,"","",2.525,w329742956
SECONDAIRE,Route secondaire,"","",2.521,w488043613
SECONDAIRE,Route secondaire,"",Transversale 4,2.508,w264628220
TERTIAIRE,Route tertiaire,"","",2.504,w745899341
TERTIAIRE,Route tertiaire,"","",2.487,w301165666
TERTIAIRE,Route tertiaire,"","",2.465,w253759120
TERTIAIRE,Route tertiaire,"","",2.455,w1098878862
TERTIAIRE,Route tertiaire,"","",2.450,w668651647
TERTIAIRE,Route tertiaire,"","",2.446,w409891774
TERTIAIRE,Route tertiaire,"","",2.443,w291759197
TERTIAIRE,Route tertiaire,"","",2.432,w416981402
TERTIAIRE,Route tertiaire,"","",2.430,w184367134
TERTIAIRE,Route tertiaire,"","",2.425,w270244516
TERTIAIRE,Route tertiaire,"","",2.421,w1067878692
TERTIAIRE,Route tertiaire,"","",2.419,w1067897363
TERTIAIRE,Route tertiaire,"","",2.417,w304937516
TERTIAIRE,Route tertiaire,"","",2.413,w302358585
TERTIAIRE,Route tertiaire,"","",2.404,w305668780
TERTIAIRE,Route tertiaire,"","",2.403,w274445936
TERTIAIRE,Route tertiaire,"","",2.383,w274846473
TERTIAIRE,Route tertiaire,"","",2.380,w1000783739
TERTIAIRE,Route tertiaire,"","",2.380,w247175355
TERTIAIRE,Route tertiaire,"","",2.378,w331316982
TERTIAIRE,Route tertiaire,"","",2.375,w292376304
TERTIAIRE,Route tertiaire,"","",2.369,w686646031
TERTIAIRE,Route tertiaire,"","",2.368,w636551018
TERTIAIRE,Route tertiaire,"","",2.353,w244795182
TERTIAIRE,Route tertiaire,"","",2.348,w862993439
TERTIAIRE,Route tertiaire,"","",2.346,w292034480
TERTIAIRE,Route tertiaire,"","",2.345,w330301802
TERTIAIRE,Route tertiaire,"","",2.332,w635294648
TERTIAIRE,Route tertiaire,"","",2.328,w253759116
TERTIAIRE,Route tertiaire,"","",2.307,w687365810
SECONDAIRE,Route secondaire,"","",2.302,w571472185
