categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",1.001,w300380681
PRINCIPALE,Route primaire,"","",0.998,w427397099
TERTIAIRE,Route tertiaire,"","",0.995,w238750378
TERTIAIRE,Route tertiaire,"","",0.995,w275319267
PRINCIPALE,Route primaire,"","",0.986,w291534616
TERTIAIRE,Route tertiaire,"","",0.985,w287696058
TERTIAIRE,Route tertiaire,"","",0.968,w645065155
TERTIAIRE,Route tertiaire,"","",0.961,w304029122
TERTIAIRE,Route tertiaire,"","",0.954,w302549032
TERTIAIRE,Route tertiaire,"","",0.952,w273339617
SECONDAIRE,Route secondaire,"","",0.950,w496723251
TERTIAIRE,Route tertiaire,"","",0.950,w328653631
TERTIAIRE,Route tertiaire,"","",0.926,w408962496
PRINCIPALE,Route primaire,"","",0.926,w1135129291
SECONDAIRE,Route secondaire,"","",0.922,w311045980
TERTIAIRE,Route tertiaire,"","",0.919,w330347961
TERTIAIRE,Route tertiaire,"","",0.914,w273328688
TERTIAIRE,Route tertiaire,"","",0.913,w253759103
TERTIAIRE,Route tertiaire,"","",0.908,w329196560
TERTIAIRE,Route tertiaire,"","",0.903,w693363456
PRINCIPALE,Route primaire,"","",0.901,w690020059
TERTIAIRE,Route tertiaire,"",Rue RO. 123,0.893,w48875904
TERTIAIRE,Route tertiaire,"","",0.890,w94781497
TERTIAIRE,Route tertiaire,"","",0.877,w312344429
TERTIAIRE,Route tertiaire,"","",0.876,w1068949553
TERTIAIRE,Route tertiaire,"","",0.869,w315752033
TERTIAIRE,Route tertiaire,"","",0.862,w181552933
PRINCIPALE,Route primaire,"","",0.858,w115512511
TERTIAIRE,Route tertiaire,"","",0.858,w304937451
TERTIAIRE,Route tertiaire,"","",0.856,w253759101
SECONDAIRE,Route secondaire,"","",0.856,w398614665
TERTIAIRE,Route tertiaire,"","",0.850,w344521408
TERTIAIRE,Route tertiaire,"","",0.842,w263539775
TERTIAIRE,Route tertiaire,"","",0.841,w305499377
TERTIAIRE,Route tertiaire,"","",0.841,w676300870
TERTIAIRE,Route tertiaire,"","",0.840,w301026538
TERTIAIRE,Route tertiaire,"",Rue DI. 771,0.838,w39502411
SECONDAIRE,Route secondaire,"","",0.830,w312734125
TERTIAIRE,Route tertiaire,"","",0.827,w287252184
PRINCIPALE,Route primaire,"","",0.824,w501080568
TERTIAIRE,Route tertiaire,"","",0.824,w304937573
TERTIAIRE,Route tertiaire,"","",0.823,w329445968
TERTIAIRE,Route tertiaire,"","",0.819,w312344428
TERTIAIRE,Route tertiaire,"","",0.817,w489453499
TERTIAIRE,Route tertiaire,"","",0.817,w114614739
TERTIAIRE,Route tertiaire,"","",0.814,w1068311931
TERTIAIRE,Route tertiaire,"",Rue RO. 226,0.813,w93285070
TERTIAIRE,Route tertiaire,"","",0.808,w331145321
TERTIAIRE,Route tertiaire,"","",0.807,w292376297
SECONDAIRE,Route secondaire,"","",0.803,w296994378
TERTIAIRE,Route tertiaire,"","",0.794,w304029121
TERTIAIRE,Route tertiaire,"","",0.792,w328463406
SECONDAIRE,Route secondaire,"","",0.789,w689667378
TERTIAIRE,Route tertiaire,"","",0.784,w270239916
TERTIAIRE,Route tertiaire,"","",0.781,w301282906
TERTIAIRE,Route tertiaire,"","",0.781,w1028384488
TERTIAIRE,Route tertiaire,"","",0.778,w253565788
TERTIAIRE,Route tertiaire,"","",0.778,w1006303108
TERTIAIRE,Route tertiaire,"","",0.774,w742216545
TERTIAIRE,Route tertiaire,"","",0.773,w686685983
TERTIAIRE,Route tertiaire,"","",0.772,w319157770
TERTIAIRE,Route tertiaire,"","",0.767,w300515521
TERTIAIRE,Route tertiaire,"","",0.766,w274445921
TERTIAIRE,Route tertiaire,"","",0.765,w687591082
SECONDAIRE,Route secondaire,"","",0.765,w270252672
TERTIAIRE,Route tertiaire,"","",0.763,w488134565
TERTIAIRE,Route tertiaire,"","",0.763,w443169653
TERTIAIRE,Route tertiaire,"","",0.758,w312344425
TERTIAIRE,Route tertiaire,"","",0.758,w269165008
TERTIAIRE,Route tertiaire,"","",0.755,w273312981
TERTIAIRE,Route tertiaire,"","",0.754,w207824831
TERTIAIRE,Route tertiaire,"","",0.752,w498340755
TERTIAIRE,Route tertiaire,"","",0.751,w338666759
TERTIAIRE,Route tertiaire,"",Rue DI. 777,0.749,w331244500
TERTIAIRE,Route tertiaire,"","",0.746,w686635120
TERTIAIRE,Route tertiaire,"","",0.739,w305779844
TERTIAIRE,Route tertiaire,"","",0.735,w688923525
TERTIAIRE,Route tertiaire,"","",0.732,w643156938
TERTIAIRE,Route tertiaire,"","",0.732,w301282882
TERTIAIRE,Route tertiaire,"","",0.725,w686604854
SECONDAIRE,Route secondaire,"","",0.722,w496950283
SECONDAIRE,Route secondaire,"","",0.715,w247167021
PRINCIPALE,Route primaire,"",A1,0.713,w868427774
TERTIAIRE,Route tertiaire,"","",0.712,w304937515
TERTIAIRE,Route tertiaire,"","",0.708,w93285053
TERTIAIRE,Route tertiaire,"","",0.708,w668649683
SECONDAIRE,Route secondaire,"","",0.702,w273328759
TERTIAIRE,Route tertiaire,"","",0.700,w701261476
TERTIAIRE,Route tertiaire,"","",0.692,w313335389
TERTIAIRE,Route tertiaire,"","",0.692,w270402406
TERTIAIRE,Route tertiaire,"","",0.689,w685995590
TERTIAIRE,Route tertiaire,"","",0.687,w305326903
TERTIAIRE,Route tertiaire,"",Rue MO. 090,0.685,w335055646
TERTIAIRE,Route tertiaire,"","",0.684,w270081400
TERTIAIRE,Route tertiaire,"","",0.684,w687329191
PRINCIPALE,Route primaire,"","",0.681,w39451011
TERTIAIRE,Route tertiaire,"","",0.680,w687374370
TERTIAIRE,Route tertiaire,"","",0.676,w686021645
SECONDAIRE,Route secondaire,"","",0.676,w571472866
TERTIAIRE,Route tertiaire,"","",0.671,w328346515
TERTIAIRE,Route tertiaire,"","",0.669,w862999565
TERTIAIRE,Route tertiaire,"","",0.668,w496780765
TERTIAIRE,Route tertiaire,"","",0.668,w301637714
TERTIAIRE,Route tertiaire,"","",0.667,w667295837
TERTIAIRE,Route tertiaire,"","",0.658,w213576997
TERTIAIRE,Route tertiaire,"","",0.658,w274387065
TERTIAIRE,Route tertiaire,"","",0.658,w417283728
PRINCIPALE,Route primaire,"","",0.656,w777692714
TERTIAIRE,Route tertiaire,"","",0.654,w682691333
TERTIAIRE,Route tertiaire,"","",0.646,w312344431
TERTIAIRE,Route tertiaire,"","",0.644,w330300580
TERTIAIRE,Route tertiaire,"","",0.642,w310943452
TERTIAIRE,Route tertiaire,"","",0.638,w301282908
TERTIAIRE,Route tertiaire,"","",0.637,w300789278
TERTIAIRE,Route tertiaire,"","",0.635,w270873960
TERTIAIRE,Route tertiaire,"","",0.633,w391320970
TERTIAIRE,Route tertiaire,"","",0.631,w651177766
TERTIAIRE,Route tertiaire,"","",0.629,w1000969128
TERTIAIRE,Route tertiaire,"","",0.627,w332494505
TERTIAIRE,Route tertiaire,"","",0.624,w497286086
TERTIAIRE,Route tertiaire,"","",0.623,w923719277
TERTIAIRE,Route tertiaire,"","",0.620,w88015069
TERTIAIRE,Route tertiaire,"","",0.618,w1000969129
TERTIAIRE,Route tertiaire,"","",0.616,w566748526
TERTIAIRE,Route tertiaire,"","",0.611,w269676584
TERTIAIRE,Route tertiaire,"","",0.603,w292376300
TERTIAIRE,Route tertiaire,"","",0.603,w305326901
TERTIAIRE,Route tertiaire,"",Corniche,0.602,w217941467
TERTIAIRE,Route tertiaire,"","",0.599,w498340751
TERTIAIRE,Route tertiaire,"",Rue DI. 780,0.598,w39502687
TERTIAIRE,Route tertiaire,"","",0.598,w686653469
TERTIAIRE,Route tertiaire,"","",0.593,w114614747
TERTIAIRE,Route tertiaire,"","",0.591,w667295832
PRINCIPALE,Route primaire,"","",0.585,w559283161
SECONDAIRE,Route secondaire,"",Transversale 9,0.584,w38662549
TERTIAIRE,Route tertiaire,"","",0.581,w247175332
SECONDAIRE,Route secondaire,"","",0.581,w399733614
TERTIAIRE,Route tertiaire,"","",0.581,w182084649
TERTIAIRE,Route tertiaire,"","",0.578,w497949977
TERTIAIRE,Route tertiaire,"","",0.576,w272018782
TERTIAIRE,Route tertiaire,"","",0.576,w382565683
TERTIAIRE,Route tertiaire,"","",0.575,w759464600
TERTIAIRE,Route tertiaire,"","",0.575,w236673319
TERTIAIRE,Route tertiaire,"","",0.572,w497954999
TERTIAIRE,Route tertiaire,"","",0.572,w39503006
TERTIAIRE,Route tertiaire,"","",0.569,w686007620
TERTIAIRE,Route tertiaire,"","",0.569,w292036261
TERTIAIRE,Route tertiaire,"","",0.567,w368634018
TERTIAIRE,Route tertiaire,"","",0.565,w271662426
TERTIAIRE,Route tertiaire,"","",0.565,w329039659
TERTIAIRE,Route tertiaire,"","",0.564,w247169123
TERTIAIRE,Route tertiaire,"","",0.564,w304029846
TERTIAIRE,Route tertiaire,"","",0.554,w398759886
TERTIAIRE,Route tertiaire,"","",0.553,w416947192
TERTIAIRE,Route tertiaire,"","",0.551,w300369864
TERTIAIRE,Route tertiaire,"","",0.551,w686029455
TERTIAIRE,Route tertiaire,"","",0.550,w314204245
SECONDAIRE,Route secondaire,"","",0.549,w274171849
TERTIAIRE,Route tertiaire,"","",0.549,w327755003
TERTIAIRE,Route tertiaire,"",Rue RO. 226,0.548,w909473604
TERTIAIRE,Route tertiaire,"","",0.548,w489947275
TERTIAIRE,Route tertiaire,"","",0.548,w304935181
TERTIAIRE,Route tertiaire,"","",0.546,w686007622
TERTIAIRE,Route tertiaire,"","",0.544,w304942255
TERTIAIRE,Route tertiaire,"","",0.542,w1110016085
TERTIAIRE,Route tertiaire,"","",0.542,w305685917
TERTIAIRE,Route tertiaire,"","",0.540,w687255455
TERTIAIRE,Route tertiaire,"","",0.539,w302317313
TERTIAIRE,Route tertiaire,"","",0.538,w705780535
TERTIAIRE,Route tertiaire,"","",0.528,w687345944
TERTIAIRE,Route tertiaire,"","",0.526,w304025051
TERTIAIRE,Route tertiaire,"","",0.525,w273312967
TERTIAIRE,Route tertiaire,"","",0.515,w686660192
TERTIAIRE,Route tertiaire,"","",0.513,w687398043
SECONDAIRE,Route secondaire,"","",0.511,w496950274
PRINCIPALE,Route primaire,"","",0.509,w760173006
TERTIAIRE,Route tertiaire,"","",0.508,w328440491
TERTIAIRE,Route tertiaire,"","",0.507,w686907107
TERTIAIRE,Route tertiaire,"","",0.506,w313335390
TERTIAIRE,Route tertiaire,"","",0.500,w571753321
TERTIAIRE,Route tertiaire,"","",0.498,w862993860
TERTIAIRE,Route tertiaire,"","",0.497,w939789959
TERTIAIRE,Route tertiaire,"","",0.496,w500544891
TERTIAIRE,Route tertiaire,"","",0.496,w340393202
TERTIAIRE,Route tertiaire,"","",0.495,w692717584
TERTIAIRE,Route tertiaire,"","",0.494,w682711265
TERTIAIRE,Route tertiaire,"",Corniche,0.493,w270633142
TERTIAIRE,Route tertiaire,"","",0.493,w241719758
TERTIAIRE,Route tertiaire,"","",0.491,w331089437
TERTIAIRE,Route tertiaire,"","",0.491,w288109309
SECONDAIRE,Route secondaire,"","",0.484,w480650789
TERTIAIRE,Route tertiaire,"","",0.484,w686777127
TERTIAIRE,Route tertiaire,"","",0.483,w217789647
TERTIAIRE,Route tertiaire,"","",0.481,w340393201
TERTIAIRE,Route tertiaire,"","",0.469,w296969168
TERTIAIRE,Route tertiaire,"","",0.466,w331316990
TERTIAIRE,Route tertiaire,"","",0.463,w686556238
TERTIAIRE,Route tertiaire,"","",0.462,w1087499486
TERTIAIRE,Route tertiaire,"","",0.462,w327697220
TERTIAIRE,Route tertiaire,"","",0.460,w302355633
TERTIAIRE,Route tertiaire,"","",0.458,w316001303
TERTIAIRE,Route tertiaire,"","",0.458,w647828813
TERTIAIRE,Route tertiaire,"","",0.454,w868427771
TERTIAIRE,Route tertiaire,"","",0.448,w291905535
TERTIAIRE,Route tertiaire,"","",0.447,w687495313
TERTIAIRE,Route tertiaire,"","",0.445,w497286084
TERTIAIRE,Route tertiaire,"","",0.443,w296989665
TERTIAIRE,Route tertiaire,"",Rue MO. 515,0.437,w94781656
TERTIAIRE,Route tertiaire,"","",0.430,w264392025
TERTIAIRE,Route tertiaire,"","",0.429,w329039651
TERTIAIRE,Route tertiaire,"","",0.422,w398759902
TERTIAIRE,Route tertiaire,"","",0.420,w545945844
SECONDAIRE,Route secondaire,"","",0.417,w311045993
SECONDAIRE,Route secondaire,"",transvervale 5,0.416,w548598614
SECONDAIRE,Route secondaire,"",transvervale 5,0.415,w548598613
TERTIAIRE,Route tertiaire,"","",0.414,w304937513
TERTIAIRE,Route tertiaire,"","",0.413,w314599493
TERTIAIRE,Route tertiaire,"","",0.409,w545945848
TERTIAIRE,Route tertiaire,"","",0.408,w692717585
TERTIAIRE,Route tertiaire,"","",0.407,w646623998
TERTIAIRE,Route tertiaire,"",Transversale 8,0.406,w270870907
TERTIAIRE,Route tertiaire,"","",0.405,w270875920
TERTIAIRE,Route tertiaire,"","",0.405,w305781530
TERTIAIRE,Route tertiaire,"","",0.404,w304938122
TERTIAIRE,Route tertiaire,"","",0.403,w328816894
TERTIAIRE,Route tertiaire,"","",0.403,w327642383
TERTIAIRE,Route tertiaire,"","",0.403,w304029123
TERTIAIRE,Route tertiaire,"","",0.401,w236673328
TERTIAIRE,Route tertiaire,"","",0.401,w338063221
TERTIAIRE,Route tertiaire,"","",0.401,w330300576
TERTIAIRE,Route tertiaire,"","",0.396,w287696057
TERTIAIRE,Route tertiaire,"","",0.391,w268779589
TERTIAIRE,Route tertiaire,"","",0.388,w269008191
TERTIAIRE,Route tertiaire,"","",0.388,w270925881
TERTIAIRE,Route tertiaire,"","",0.386,w687345947
PRINCIPALE,Route primaire,"","",0.386,w847509788
TERTIAIRE,Route tertiaire,"","",0.384,w398772693
TERTIAIRE,Route tertiaire,"","",0.383,w693507759
TERTIAIRE,Route tertiaire,"","",0.382,w302321289
TERTIAIRE,Route tertiaire,"","",0.382,w273328761
TERTIAIRE,Route tertiaire,"","",0.381,w247166921
TERTIAIRE,Route tertiaire,"","",0.381,w328440087
TERTIAIRE,Route tertiaire,"","",0.378,w303331426
TERTIAIRE,Route tertiaire,"","",0.377,w305326900
TERTIAIRE,Route tertiaire,"","",0.377,w270874054
TERTIAIRE,Route tertiaire,"","",0.375,w304968317
PRINCIPALE,Route primaire,"",A1,0.373,w860635724
TERTIAIRE,Route tertiaire,"","",0.373,w273328763
TERTIAIRE,Route tertiaire,"","",0.372,w328441607
TERTIAIRE,Route tertiaire,"","",0.372,w273312965
TERTIAIRE,Route tertiaire,"","",0.371,w650237624
TERTIAIRE,Route tertiaire,"","",0.370,w686007623
TERTIAIRE,Route tertiaire,"","",0.368,w303020069
TERTIAIRE,Route tertiaire,"","",0.367,w705780530
TERTIAIRE,Route tertiaire,"","",0.366,w292032051
TERTIAIRE,Route tertiaire,"","",0.364,w746632581
TERTIAIRE,Route tertiaire,"","",0.359,w328440086
TERTIAIRE,Route tertiaire,"","",0.358,w304936552
TERTIAIRE,Route tertiaire,"","",0.358,w304752455
TERTIAIRE,Route tertiaire,"","",0.358,w292376298
TERTIAIRE,Route tertiaire,"","",0.356,w305046274
PRINCIPALE,Route primaire,"","",0.356,w643145253
PRINCIPALE,Route primaire,"","",0.352,w760173008
TERTIAIRE,Route tertiaire,"","",0.351,w571764984
PRINCIPALE,Route primaire,"",Route de Café,0.348,w272042384
TERTIAIRE,Route tertiaire,"","",0.347,w315070437
TERTIAIRE,Route tertiaire,"","",0.343,w691661128
SECONDAIRE,Route secondaire,"","",0.342,w272452910
TERTIAIRE,Route tertiaire,"","",0.340,w305326905
TERTIAIRE,Route tertiaire,"","",0.336,w312344427
TERTIAIRE,Route tertiaire,"","",0.331,w304938119
PRINCIPALE,Route primaire,"","",0.330,w269075803
TERTIAIRE,Route tertiaire,"","",0.327,w301282895
PRINCIPALE,Route primaire,"",Route de Café,0.325,w272042386
TERTIAIRE,Route tertiaire,"","",0.323,w687481754
TERTIAIRE,Route tertiaire,"","",0.321,w315754530
TERTIAIRE,Route tertiaire,"","",0.318,w645043301
TERTIAIRE,Route tertiaire,"","",0.318,w837294613
TERTIAIRE,Route tertiaire,"",Rue DI. 835,0.315,w39503210
TERTIAIRE,Route tertiaire,"","",0.311,w940589963
TERTIAIRE,Route tertiaire,"","",0.304,w304937449
TERTIAIRE,Route tertiaire,"","",0.303,w330599386
TERTIAIRE,Route tertiaire,"","",0.302,w398759885
TERTIAIRE,Route tertiaire,"","",0.302,w182084644
TERTIAIRE,Route tertiaire,"","",0.302,w668691305
TERTIAIRE,Route tertiaire,"","",0.301,w703396842
SECONDAIRE,Route secondaire,"","",0.299,w689930310
TERTIAIRE,Route tertiaire,"","",0.296,w328239277
TERTIAIRE,Route tertiaire,"","",0.296,w292032050
TERTIAIRE,Route tertiaire,"","",0.295,w329039663
TERTIAIRE,Route tertiaire,"","",0.295,w270574936
TERTIAIRE,Route tertiaire,"","",0.288,w752182922
TERTIAIRE,Route tertiaire,"","",0.288,w328399430
TERTIAIRE,Route tertiaire,"","",0.288,w247172501
TERTIAIRE,Route tertiaire,"","",0.287,w416948332
TERTIAIRE,Route tertiaire,"","",0.286,w238471921
TERTIAIRE,Route tertiaire,"","",0.284,w292790019
TERTIAIRE,Route tertiaire,"","",0.284,w315886571
TERTIAIRE,Route tertiaire,"","",0.280,w753325631
TERTIAIRE,Route tertiaire,"","",0.275,w330689789
TERTIAIRE,Route tertiaire,"","",0.275,w269448286
TERTIAIRE,Route tertiaire,"","",0.273,w288109311
TERTIAIRE,Route tertiaire,"","",0.272,w331459480
TERTIAIRE,Route tertiaire,"","",0.272,w686914023
TERTIAIRE,Route tertiaire,"","",0.272,w313335391
TERTIAIRE,Route tertiaire,"","",0.270,w182136066
TERTIAIRE,Route tertiaire,"","",0.269,w644555060
TERTIAIRE,Route tertiaire,"","",0.268,w305548790
TERTIAIRE,Route tertiaire,"","",0.265,w688337773
TERTIAIRE,Route tertiaire,"","",0.265,w752182921
TERTIAIRE,Route tertiaire,"","",0.262,w687392990
TERTIAIRE,Route tertiaire,"","",0.261,w300515519
TERTIAIRE,Route tertiaire,"","",0.257,w300611018
TERTIAIRE,Route tertiaire,"","",0.256,w408962497
TERTIAIRE,Route tertiaire,"",Rue RO. 117,0.255,w93285141
TERTIAIRE,Route tertiaire,"","",0.254,w182192273
TERTIAIRE,Route tertiaire,"","",0.254,w651196466
TERTIAIRE,Route tertiaire,"","",0.252,w644621988
TERTIAIRE,Route tertiaire,"","",0.252,w328816905
TERTIAIRE,Route tertiaire,"","",0.250,w330064746
TERTIAIRE,Route tertiaire,"","",0.247,w312685920
TERTIAIRE,Route tertiaire,"","",0.244,w305779803
TERTIAIRE,Route tertiaire,"","",0.241,w328256099
TERTIAIRE,Route tertiaire,"","",0.240,w400840751
TERTIAIRE,Route tertiaire,"","",0.240,w274188439
TERTIAIRE,Route tertiaire,"","",0.239,w745607910
TERTIAIRE,Route tertiaire,"","",0.238,w94781609
TERTIAIRE,Route tertiaire,"","",0.236,w207825934
TERTIAIRE,Route tertiaire,"","",0.230,w292036267
TERTIAIRE,Route tertiaire,"","",0.228,w752182919
TERTIAIRE,Route tertiaire,"","",0.227,w310638896
TERTIAIRE,Route tertiaire,"","",0.225,w1122742643
TERTIAIRE,Route tertiaire,"","",0.225,w800950251
TERTIAIRE,Route tertiaire,"","",0.223,w217565606
TERTIAIRE,Route tertiaire,"","",0.219,w868427770
TERTIAIRE,Route tertiaire,"","",0.217,w273136241
TERTIAIRE,Route tertiaire,"","",0.216,w862993859
TERTIAIRE,Route tertiaire,"","",0.215,w328025083
TERTIAIRE,Route tertiaire,"","",0.214,w270875244
TERTIAIRE,Route tertiaire,"","",0.212,w317517401
TERTIAIRE,Route tertiaire,"","",0.212,w270119953
TERTIAIRE,Route tertiaire,"","",0.210,w304937514
TERTIAIRE,Route tertiaire,"","",0.209,w304029118
TERTIAIRE,Route tertiaire,"","",0.209,w686646029
TERTIAIRE,Route tertiaire,"","",0.207,w686871219
TERTIAIRE,Route tertiaire,"","",0.205,w880058474
TERTIAIRE,Route tertiaire,"","",0.205,w311535879
TERTIAIRE,Route tertiaire,"","",0.204,w398620186
TERTIAIRE,Route tertiaire,"","",0.204,w906775182
TERTIAIRE,Route tertiaire,"","",0.202,w514036356
TERTIAIRE,Route tertiaire,"","",0.200,w686893473
TERTIAIRE,Route tertiaire,"","",0.199,w686764317
TERTIAIRE,Route tertiaire,"","",0.199,w292030084
TERTIAIRE,Route tertiaire,"","",0.196,w302550158
TERTIAIRE,Route tertiaire,"","",0.195,w687280128
TERTIAIRE,Route tertiaire,"","",0.194,w687270470
TERTIAIRE,Route tertiaire,"","",0.193,w310943477
TERTIAIRE,Route tertiaire,"","",0.190,w416981419
TERTIAIRE,Route tertiaire,"","",0.189,w747283365
TERTIAIRE,Route tertiaire,"","",0.188,w687398040
TERTIAIRE,Route tertiaire,"","",0.187,w398618356
TERTIAIRE,Route tertiaire,"","",0.180,w678889693
SECONDAIRE,Route secondaire,"","",0.179,w303341724
TERTIAIRE,Route tertiaire,"","",0.179,w416929956
TERTIAIRE,Route tertiaire,"","",0.179,w274188441
TERTIAIRE,Route tertiaire,"","",0.175,w693507761
TERTIAIRE,Route tertiaire,"","",0.175,w313334438
TERTIAIRE,Route tertiaire,"","",0.175,w753313292
TERTIAIRE,Route tertiaire,"","",0.175,w408961361
TERTIAIRE,Route tertiaire,"",Rue MO. 514,0.173,w554583932
SECONDAIRE,Route secondaire,"","",0.172,w689667376
TERTIAIRE,Route tertiaire,"","",0.171,w497955000
TERTIAIRE,Route tertiaire,"","",0.169,w752875341
TERTIAIRE,Route tertiaire,"","",0.169,w647517015
TERTIAIRE,Route tertiaire,"","",0.166,w237384518
TERTIAIRE,Route tertiaire,"","",0.165,w681919359
TERTIAIRE,Route tertiaire,"","",0.162,w949545284
TERTIAIRE,Route tertiaire,"","",0.161,w949545285
TERTIAIRE,Route tertiaire,"","",0.161,w416981413
TERTIAIRE,Route tertiaire,"","",0.160,w238401075
TERTIAIRE,Route tertiaire,"","",0.160,w1059734717
PRINCIPALE,Route primaire,"","",0.160,w292511741
PRINCIPALE,Route primaire,"",Rond Point T5,0.158,w140686331
TERTIAIRE,Route tertiaire,"","",0.154,w303473716
TERTIAIRE,Route tertiaire,"","",0.151,w328440088
PRINCIPALE,Route primaire,"",Rond point T6,0.149,w140786770
PRINCIPALE,Route primaire,"","",0.149,w688655224
TERTIAIRE,Route tertiaire,"","",0.148,w304937444
TERTIAIRE,Route tertiaire,"","",0.146,w305499380
TERTIAIRE,Route tertiaire,"","",0.146,w400806155
TERTIAIRE,Route tertiaire,"","",0.145,w271586610
TERTIAIRE,Route tertiaire,"","",0.143,w497955005
SECONDAIRE,Route secondaire,"","",0.142,w270262059
TERTIAIRE,Route tertiaire,"","",0.141,w271279766
TERTIAIRE,Route tertiaire,"","",0.140,w701261477
TERTIAIRE,Route tertiaire,"","",0.140,w416450036
TERTIAIRE,Route tertiaire,"","",0.139,w646617620
TERTIAIRE,Route tertiaire,"","",0.138,w332494513
SECONDAIRE,Route secondaire,"","",0.138,w269991686
TERTIAIRE,Route tertiaire,"","",0.138,w752875340
PRINCIPALE,Route primaire,"","",0.135,w690250505
TERTIAIRE,Route tertiaire,"","",0.134,w182084651
TERTIAIRE,Route tertiaire,"","",0.133,w292036269
TERTIAIRE,Route tertiaire,"","",0.132,w650737297
TERTIAIRE,Route tertiaire,"","",0.132,w339993570
PRINCIPALE,Route primaire,"","",0.132,w690247427
TERTIAIRE,Route tertiaire,"","",0.131,w296968722
TERTIAIRE,Route tertiaire,"","",0.130,w328653621
TERTIAIRE,Route tertiaire,"","",0.129,w329359146
PRINCIPALE,Route primaire,"",Rond Point Bambeto,0.128,w140781508
TERTIAIRE,Route tertiaire,"","",0.127,w756574407
TERTIAIRE,Route tertiaire,"","",0.126,w351631767
TERTIAIRE,Route tertiaire,"","",0.126,w223428485
TERTIAIRE,Route tertiaire,"","",0.124,w686647057
TERTIAIRE,Route tertiaire,"","",0.124,w1067934997
TERTIAIRE,Route tertiaire,"","",0.124,w270293496
SECONDAIRE,Route secondaire,"","",0.123,w272093567
TERTIAIRE,Route tertiaire,"","",0.123,w329358706
TERTIAIRE,Route tertiaire,"","",0.123,w398568890
PRINCIPALE,Route primaire,"",Rond Point ENCO 5,0.123,w140686342
SECONDAIRE,Route secondaire,"",Transversale 9,0.123,w990634757
TERTIAIRE,Route tertiaire,"","",0.121,w263444137
TERTIAIRE,Route tertiaire,"","",0.119,w687280129
TERTIAIRE,Route tertiaire,"","",0.118,w339776919
TERTIAIRE,Route tertiaire,"","",0.117,w939745782
TERTIAIRE,Route tertiaire,"","",0.117,w1020786204
TERTIAIRE,Route tertiaire,"","",0.116,w633230094
TERTIAIRE,Route tertiaire,"","",0.114,w292030081
TERTIAIRE,Route tertiaire,"","",0.112,w293138668
TERTIAIRE,Route tertiaire,"","",0.111,w705780536
TERTIAIRE,Route tertiaire,"","",0.110,w301026529
TERTIAIRE,Route tertiaire,"","",0.109,w763740451
TERTIAIRE,Route tertiaire,"","",0.109,w287696059
SECONDAIRE,Route secondaire,"","",0.108,w688699111
TERTIAIRE,Route tertiaire,"","",0.107,w270507262
TERTIAIRE,Route tertiaire,"","",0.106,w303333110
TERTIAIRE,Bretelle route tertiaire,"","",0.106,w339466379
TERTIAIRE,Route tertiaire,"","",0.106,w744703429
TERTIAIRE,Route tertiaire,"","",0.105,w304029120
TERTIAIRE,Route tertiaire,"","",0.104,w766195913
TERTIAIRE,Route tertiaire,"","",0.102,w686764318
TERTIAIRE,Route tertiaire,"","",0.102,w273313019
SECONDAIRE,Route secondaire,"",Transversale 9,0.101,w990634758
TERTIAIRE,Route tertiaire,"","",0.099,w287252157
TERTIAIRE,Route tertiaire,"","",0.099,w270405165
TERTIAIRE,Route tertiaire,"","",0.098,w939789958
TERTIAIRE,Route tertiaire,"","",0.098,w300789279
TERTIAIRE,Route tertiaire,"","",0.096,w269836169
TERTIAIRE,Route tertiaire,"","",0.095,w304952976
TERTIAIRE,Route tertiaire,"","",0.095,w862994208
TERTIAIRE,Route tertiaire,"","",0.093,w415340130
VOIE_RAPIDE,Voie rapide,RN5,"",0.093,w571480065
TERTIAIRE,Route tertiaire,"","",0.092,w273313024
TERTIAIRE,Route tertiaire,"","",0.092,w749386949
TERTIAIRE,Route tertiaire,"","",0.091,w703396823
TERTIAIRE,Route tertiaire,"","",0.090,w287274159
TERTIAIRE,Route tertiaire,"","",0.089,w710055330
TERTIAIRE,Route tertiaire,"","",0.087,w753313290
TERTIAIRE,Route tertiaire,"","",0.085,w201754320
TERTIAIRE,Route tertiaire,"","",0.084,w328423647
TERTIAIRE,Route tertiaire,"","",0.084,w302317301
TERTIAIRE,Route tertiaire,"","",0.084,w750780623
TERTIAIRE,Route tertiaire,"","",0.084,w273390128
TERTIAIRE,Route tertiaire,"","",0.081,w398759889
PRINCIPALE,Route primaire,"","",0.081,w501080570
TERTIAIRE,Route tertiaire,"","",0.080,w398619823
SECONDAIRE,Route secondaire,"","",0.080,w303341736
TERTIAIRE,Route tertiaire,"","",0.080,w223428486
TERTIAIRE,Route tertiaire,"","",0.079,w315813099
TERTIAIRE,Route tertiaire,"","",0.078,w382563323
TERTIAIRE,Route tertiaire,"","",0.077,w270402396
TERTIAIRE,Route tertiaire,"","",0.077,w223428489
PRINCIPALE,Route primaire,"",Rond Point Cosa,0.076,w217954564
TERTIAIRE,Route tertiaire,"","",0.076,w690250497
TERTIAIRE,Route tertiaire,"","",0.076,w496723243
TERTIAIRE,Route tertiaire,"","",0.076,w398619821
TERTIAIRE,Route tertiaire,"","",0.076,w409891954
