Route primaire	NC	20.742	Kindia	0.000	0.063	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	20.727	Labé	0.006	0.025	POTENTIAL_BDRI_MISSING
Route primaire	N30	20.718	Kankan	0.979	1.000	LIKELY_DUPLICATE
Route secondaire	N31	20.629	Kankan	0.778	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	20.525	Kindia	0.003	0.060	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	20.505	Kindia	0.041	0.344	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	20.491	Kankan	0.008	0.140	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	20.335	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	20.335	Mamou	0.004	0.042	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	20.318	Labé	0.010	0.119	OUTSIDE_BDRI_SCOPE
Route primaire	N18	20.253	Nzérékoré	0.990	1.000	LIKELY_DUPLICATE
Route secondaire	NC	20.182	Faranah	0.029	0.248	UNDETERMINED
Route tertiaire	NC	20.089	Mamou	0.006	0.127	OUTSIDE_BDRI_SCOPE
Route secondaire	N31	20.086	Kankan	0.514	0.975	LIKELY_DUPLICATE
Route primaire	N18	20.032	Nzérékoré	0.879	1.000	LIKELY_DUPLICATE
Voie rapide	N2	19.851	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.836	Kankan	0.008	0.053	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	19.781	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.774	Kindia	0.000	0.013	POTENTIAL_BDRI_MISSING
Voie rapide	N6	19.768	Kankan	0.207	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.759	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	NC	19.754	Boké	1.000	1.000	LIKELY_DUPLICATE
